Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount,
51 Council of the Isles of Scilly,People and Communities,Community Management.,600150,Community SLT,47002,Subscriptions,ADCS,45097.041666666664,465,558,465,
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,Cornwall Marine Network Ltd,45083.041666666664,625,750,625,
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600210,Adult Education,12301,Training,Leppitt Associates,45083.041666666664,598.5,718.2,598.5,
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600212,Customer Hub,41101,Office Equipment,ESPO Eastern Shires Purchasing Organisation,45085.041666666664,653.25,783.9,653.25,
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600212,Customer Hub,45301,Postage/Franking Charges,Francotyp-Postalia Ltd,45079.041666666664,12,514.4,512,
51 Council of the Isles of Scilly,People and Communities,Learning and Library.,600212,Customer Hub,45301,Postage/Franking Charges,Francotyp-Postalia Ltd,45079.041666666664,500,514.4,512,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities.,600220,IFCA,31201,Marine Gas Oil,Sibleys Fuel & Marine Services,45097.041666666664,477.9,1172.61,1048.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities.,600220,IFCA,31201,Marine Gas Oil,Sibleys Fuel & Marine Services,45097.041666666664,570.6,1172.61,1048.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Inshore Fisheries and Conservation Authorities.,600220,IFCA,47002,Subscriptions,Association Of Ifcas,45097.041666666664,13585,16302,13585,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43505,Professional Services,,45104.041666666664,1056.54,1056.54,1056.54,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43505,Professional Services,Isles of Scilly Museum Association,45106.041666666664,800,800,800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43532,Professional Fees - Other,Five Islands Academy,45097.041666666664,750,750,750,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43532,Professional Fees - Other,HA-HUM-AH Theatre Films CIC,45097.041666666664,802.86,802.86,802.86,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43532,Professional Fees - Other,Heartbreak Productions,45106.041666666664,1700,2040,1700,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45097.041666666664,3518.5,3518.5,3518.5,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Capital Development and Procurement.,600233,CIOS Cultural Centre,43532,Professional Fees - Other,,45097.041666666664,3658.6,3658.6,3658.6,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45106.041666666664,1507.99,1809.59,1507.99,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21110,R&M - Electrical - Planned,Davey & Gilbert Ltd,45083.041666666664,520,624,520,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,878,1053.6,878,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,1724,2068.8,1724,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,1070,1284,1070,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,1383,1659.6,1383,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,542,650.4,542,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,542,650.4,542,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,94203,Rents Received,Holyvale Partnership,45097.041666666664,3400,11515,11515,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600240,Social Housing,94203,Rents Received,Holyvale Partnership,45097.041666666664,4715,11515,11515,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600241,Private Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,525,630,525,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600241,Private Housing,21201,R&M - Buildings - Reactive,Wright Construction,45090.041666666664,550,780,650,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600241,Private Housing,22501,Rent,,45086.041666666664,700,700,700,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600241,Private Housing,49002,Miscellaneous Expenditure,Wright Construction,45090.041666666664,100,780,650,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Housing Rented Property and Homelessness.,600243,Housing Delivery Project,43533,Professional Fees - Property Surveys,Vickery Holman Ltd,45078.041666666664,800,960,800,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,22501,Rent,Community Venture (Smart Islands Project),45083.041666666664,922.98,922.98,922.98,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,31102,Vehicle Repair and Maintenance,Scilly Escapes,45099.041666666664,1000,1000,1000,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,41109,R&M of Plant & Equipment,West End Motors,45092.041666666664,634.73,634.73,634.73,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45083.041666666664,6403.16,6403.16,6403.16,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45083.041666666664,960.47,960.47,960.47,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45092.041666666664,7999.67,7999.67,7999.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45092.041666666664,1199.95,1199.95,1199.95,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45092.041666666664,7999.67,7999.67,7999.67,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Community Venture (Smart Islands Project),45092.041666666664,1199.95,1199.95,1199.95,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Pfa Research Ltd,45085.041666666664,8360,10032,8360,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,Pfa Research Ltd,45092.041666666664,8360,10032,8360,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43504,Consultancy,West End Motors,45099.041666666664,521.92,626.3,521.92,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43505,Professional Services,Community Venture (Smart Islands Project),45083.041666666664,1504.28,1504.28,1504.28,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43505,Professional Services,Community Venture (Smart Islands Project),45083.041666666664,3588.26,3588.26,3588.26,
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43505,Professional Services,Craig Pullen Consulting,45085.041666666664,2374,2374,2374,+
51 Council of the Isles of Scilly,"Place, Economy and Environment",Strategic Development Management.,600261,GO-EV Smart,43505,Professional Services,Motus Group (UK) Ltd T/A Pentagon Derby,45092.041666666664,124.96,21451.95,21426.96,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600303,Corporate Management,43505,Professional Services,,45097.041666666664,1200,1200,1200,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600303,Corporate Management,43532,Professional Fees - Other,Cornwall Council,45099.041666666664,1140,1368,1140,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600303,Corporate Management,89202,Legal Fees & Expenses,The Copyright Licensing Agency Ltd,45104.041666666664,-696.06,835.27,696.06,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600303,Corporate Management,89202,Legal Fees & Expenses,The Copyright Licensing Agency Ltd,45104.041666666664,696.06,835.27,696.06,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600307,Healthwatch,47013,Grants & Conts to Other Bodies - Discretionary,Healthwatch I.O.S,45085.041666666664,12222.75,12222.75,12222.75,
51 Council of the Isles of Scilly,People and Communities,Active Scilly.,600310,Active Scilly Staffing Costs,49002,Miscellaneous Expenditure,Rod Hudson Pools Ltd,45097.041666666664,514,2599.32,2166.1,
51 Council of the Isles of Scilly,People and Communities,Active Scilly.,600313,Normandy Swimming Pool,22002,Electricity,Edf Energy Plc,45107.041666666664,2108.09,2529.71,2108.09,
51 Council of the Isles of Scilly,People and Communities,Active Scilly.,600313,Normandy Swimming Pool,31602,Air Travel,Rod Hudson Pools Ltd,45097.041666666664,1652.1,2599.32,2166.1,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45085.041666666664,-4489.95,4815.73,4489.95,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45085.041666666664,675.32,4815.73,4489.95,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45085.041666666664,3814.63,4815.73,4489.95,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45085.041666666664,4489.95,4815.73,4489.95,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45097.041666666664,972.28,3767.85,3261.43,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,31102,Vehicle Repair and Maintenance,Sibleys Fuel & Marine Services,45097.041666666664,2289.15,3767.85,3261.43,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,45093.041666666664,-440,528.27,440.23,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,45093.041666666664,440,528.27,440.23,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600321,Finance,45105,Telephone Usage,The Phone Co-Op Ltd,45093.041666666664,440.23,528.27,440.23,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600324,Information Technology,45206,IT Software Purchases,Plan Alpha Systems,45078.041666666664,46610,55932,46610,
51 Council of the Isles of Scilly,Chief Executives Department,Support Services.,600324,Information Technology,45208,IT Software Support,Cornwall Council,45092.041666666664,53357.25,64028.7,53357.25,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45090.041666666664,-5000,6000,5000,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Bloom Procurement Services Ltd,45090.041666666664,5000,6000,5000,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Transport Focus,45092.041666666664,29750,35700,29750,
51 Council of the Isles of Scilly,Chief Executives Department,Democrative and Corporate Governance_,600328,Levelling Up Fund – Sea Link Project,43504,Consultancy,Transport Focus,45092.041666666664,6250,7500,6250,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89004,Acquisition Costs - Vehicles & Plant,Allins Ltd,45078.041666666664,7276,8731.2,7276,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89004,Acquisition Costs - Vehicles & Plant,Allins Ltd,45078.041666666664,7276,8731.2,7276,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Lakeside Flood Solutions Ltd,45104.041666666664,-345229,207137.4,172614.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Lakeside Flood Solutions Ltd,45104.041666666664,-69045.8,207137.4,172614.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Lakeside Flood Solutions Ltd,45104.041666666664,69045.8,207137.4,172614.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Lakeside Flood Solutions Ltd,45104.041666666664,172614.5,207137.4,172614.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Lakeside Flood Solutions Ltd,45104.041666666664,345229,207137.4,172614.5,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Teignmouth Maritime Services Ltd,45090.041666666664,401221.13,481465.36,401221.13,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89104,Major Enhancement Works,Teignmouth Maritime Services Ltd,45104.041666666664,162463.33,194956,162463.33,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89204,Design Fees,Purcell Architecture Ltd,45078.041666666664,17817.25,21380.7,17817.25,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89204,Design Fees,Purcell Architecture Ltd,45090.041666666664,18977.24,22772.69,18977.24,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89207,Consultancy Costs,Bloom Procurement Services Ltd,45097.041666666664,13577.03,16292.44,13577.03,
51 Council of the Isles of Scilly,Infrastructure and Planning,Waste and Recycling,690002,Infrastructure & Planning Directorate,89209,Other Professional Fees,Arcadis LLP,45097.041666666664,15507.09,18608.51,15507.09,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89004,Acquisition Costs - Vehicles & Plant,Max Hunter Consulting,45092.041666666664,11970,14364,11970,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89004,Acquisition Costs - Vehicles & Plant,Motus Group (UK) Ltd T/A Pentagon Derby,45092.041666666664,21302,21451.95,21426.96,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89005,Acquisition Costs - Equipment,Natural Generation Ltd,45092.041666666664,56648,67977.6,56648,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89103,New Construction Works,JHA Consulting,45090.041666666664,780,936,780,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89103,New Construction Works,Pernic Forge,45090.041666666664,1244,1492.8,1244,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89103,New Construction Works,Pernic Forge,45092.041666666664,1244,1492.8,1244,
51 Council of the Isles of Scilly,Strategic Development and Finance,Housing Rented Property and Homelessness,690003,Strategy & Development Directorate,89209,Other Professional Fees,Currie & Brown UK Ltd,45106.041666666664,2650,3180,2650,
