Ref,Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
248,CAB,Crown Commercial Service,19-Dec-24,Surge Outsourcing,Investment Projects Digital and Data,FSP Consulting Services Limited,SINV-000025766,"306,469.01"
249,CAB,Crown Commercial Service,20-Dec-24,Legal Fees,Disputes & Policy Implementation,Pinsent Masons LLP,SINV-000025770,"39,167.21"
250,CAB,Crown Commercial Service,20-Dec-24,Cloud & Web_Hosting Costs,Service Management,Phoenix Software Limited,SINV-000025775,"33,017.33"
251,CAB,Crown Commercial Service,30-Dec-24,Fastreamer Costs,HR,CABINET OFFICE,SINV-000025806,"389,529.00"
252,CAB,Crown Commercial Service,30-Dec-24,MOU Commission Share - People,HR and Workforce Services,East of England NHS CPH,SINV-000025817,"289,898.04"
253,CAB,Crown Commercial Service,30-Dec-24,Fastreamer Costs,HR,CABINET OFFICE,SINV-000025807,"33,286.00"
254,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000565-AGP,724237-15,"5,158,985.99"
255,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000544-LS QAM Limited,699921-459,"4,596,119.25"
256,CAB,Government Property Agency,10-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3250808,"3,261,771.42"
257,CAB,Government Property Agency,11-Dec-24,Transformational Services Expenditure,Capital Projects,00000670-BAE Systems plc,3267438,"2,939,516.00"
258,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000588-Exchequer Partnership No.2 Plc,723964-3,"2,876,354.68"
259,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000587-Exchequer Partnership Plc,723904-3,"2,814,550.00"
260,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000864-CBRE Ltd M&G Account,699923-19,"2,122,287.50"
261,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-214,"1,413,302.00"
262,CAB,Government Property Agency,10-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3250806,"1,397,902.03"
263,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000014-20 Cabot Square,699921-87,"1,257,016.61"
264,CAB,Government Property Agency,05-Dec-24,Transformational Services Expenditure,Capital Projects,00000075-The Senator Group,3222675,"1,043,744.82"
265,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000565-AGP,724237-16,"1,031,797.20"
266,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-15,"958,462.37"
267,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-377,"851,264.00"
268,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-3,"769,231.60"
269,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-OCS UK&I Limited,P9 Man 283,"736,163.64"
270,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000047-London Borough of Tower Hamlets,718715-51,"716,933.00"
271,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-18,"710,724.33"
272,CAB,Government Property Agency,27-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000481-Matrix Booking Limited,3617000,"707,642.16"
273,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000014-20 Cabot Square,699921-37,"688,953.00"
274,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),724506-9,"677,815.36"
275,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),724507-6,"677,815.36"
276,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),724507-9,"677,815.36"
277,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3207277,"653,111.18"
278,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000397-Workman LLP - Central Receipts Account No 4,699921-226,"647,596.48"
279,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-223,"630,524.00"
280,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000664-Wates Construction Limited,3609688,"607,908.28"
281,CAB,Government Property Agency,10-Dec-24,PPE - AUC Additions,PPE Additions,00000593-BAM Construction Ltd,3250779,"604,868.00"
282,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225368,"600,987.69"
283,CAB,Government Property Agency,02-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000288-Kier Facilities Services Ltd,3192466,"585,162.82"
284,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000588-Exchequer Partnership No.2 Plc,723964-4,"575,270.94"
285,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3341389,"574,754.58"
286,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-220,"572,226.00"
287,CAB,Government Property Agency,31-Dec-24,PFI Service Charge Expenditure - Client Requested,Landlord Services,00000587-Exchequer Partnership Plc,723904-4,"562,910.00"
288,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225286,"553,839.46"
289,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225299,"553,839.46"
290,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-21,"548,852.20"
291,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000259-Colliers International Managing Agents,699921-600,"546,300.67"
292,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3341355,"542,603.00"
293,CAB,Government Property Agency,31-Dec-24,Other Property Transactions Expenditure,Property Transactions,00000722-Gowling WLG (UK) LLP Client,726542-3,"525,563.59"
294,CAB,Government Property Agency,19-Dec-24,Transformational Services Expenditure,Capital Projects,10000116-H&J Martin Limited,3608784,"511,645.26"
295,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-644,"507,136.00"
296,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-54,"497,649.84"
297,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-83,"478,134.16"
298,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-122,"469,454.22"
299,CAB,Government Property Agency,23-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000022-BNP Paribas Real Estate UK,3610428,"461,071.00"
300,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3604235,"459,725.17"
301,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-39,"456,002.48"
302,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726539-3,"432,084.24"
303,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724183-3233,"426,427.85"
304,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000856-WSP UK Ltd,3609234,"424,788.00"
305,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000864-CBRE Ltd M&G Account,699923-20,"424,457.50"
306,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-593,"407,520.00"
307,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,P9 Man 41,"404,831.34"
308,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000840-ISS Facility Services Limited,726479-18,"398,295.51"
309,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723667-12,"397,383.43"
310,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-18,"397,383.43"
311,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-27,"397,383.43"
312,CAB,Government Property Agency,31-Dec-24,Non Onboarded Workplace Services Expenditure,Workplace Services,00000840-ISS Facility Services Limited,727592-42,"393,728.75"
313,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-12,"387,739.56"
314,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724762-13,"387,133.32"
315,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-626,"384,314.00"
316,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000090-Mitsubushi Estate London Limited,699921-509,"363,830.73"
317,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3588477,"357,746.30"
318,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,P9 Man 83,"354,017.90"
319,CAB,Government Property Agency,16-Dec-24,PPE - AUC Additions,PPE Additions,00000840-ISS Facility Services Limited,3457414,"351,666.30"
320,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000696-Workman LLP Client Common Receipts A/c No.4,699921-446,"348,329.22"
321,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,725641-6,"342,597.81"
322,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000016-Jones Lang LaSalle JLL,728222-3,"338,831.96"
323,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),717898-13,"334,165.74"
324,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,P9 Man 256,"319,572.40"
325,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000501-WEWORK,706019-15,"295,658.00"
326,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000856-WSP UK Ltd,3609237,"295,192.10"
327,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,10000052-OCS UK&I Limited,P9 Man 284,"289,270.11"
328,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-149,"286,904.54"
329,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-18,"285,944.36"
330,CAB,Government Property Agency,31-Dec-24,PFI Variation Charge Expenditure,Landlord Services,00000565-AGP,726782-3,"283,373.72"
331,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3207275,"279,904.80"
332,CAB,Government Property Agency,19-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3608998,"266,886.91"
333,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3224585,"265,675.78"
334,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000664-Wates Construction Limited,3609686,"260,532.12"
335,CAB,Government Property Agency,10-Dec-24,PPE - AUC Additions,PPE Additions,00000593-BAM Construction Ltd,3250777,"259,229.15"
336,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225366,"257,566.15"
337,CAB,Government Property Agency,02-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000288-Kier Facilities Services Ltd,3192464,"250,784.06"
338,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-146,"250,738.00"
339,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,10000163-Kier Construction - Major Projects,3610089,"246,708.00"
340,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3341387,"246,323.39"
341,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-6,"241,487.14"
342,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225284,"237,359.77"
343,CAB,Government Property Agency,09-Dec-24,Transformational Services Expenditure,Capital Projects,00000039-Overbury,3225297,"237,359.77"
344,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3207282,"234,574.16"
345,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-253,"233,192.00"
346,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3341353,"232,544.15"
347,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-116,"230,362.00"
348,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-479,"229,230.00"
349,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000164-Ministry of Justice (All invoices),717898-20,"228,394.31"
350,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342217,"227,563.78"
351,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-9,"223,486.01"
352,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000814-Heywood & Partners,699921-166,"213,793.10"
353,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000808-Cipher 10 Ltd,3224616,"212,856.76"
354,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-3,"211,051.00"
355,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000143-Sunstone Investments Limited,699671-161,"205,171.45"
356,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723587-55,"196,251.19"
357,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-135,"193,635.91"
358,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,P9 Man 261,"192,104.56"
359,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3609516,"189,484.50"
360,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-948,"189,218.97"
361,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-968,"188,998.97"
362,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-137,"188,382.66"
363,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000064-E.W. Beard Limited,3208857,"186,704.17"
364,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-3,"185,395.42"
365,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000397-Workman LLP - Central Receipts Account No 4,728208-180,"182,586.23"
366,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,P9 Man 264,"179,865.74"
367,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000024-City of Westminster,718715-3,"178,585.00"
368,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,P9 Man 84,"176,644.23"
369,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-140,"175,241.84"
370,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3602353,"168,014.20"
371,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,724234-9,"167,410.90"
372,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,10000052-Atalian Servest Ltd,724762-9,"165,914.28"
373,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000025-AMAS Ltd (rent and SC - MAIN JLL account),700197-606,"164,857.93"
374,CAB,Government Property Agency,06-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3224582,"163,697.53"
375,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-988,"155,224.76"
376,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000014-PIC Real Estate (Ruskin Square) LP,699921-928,"154,273.79"
377,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000259-Colliers International Managing Agents,728224-4,"154,026.44"
378,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000469-Workman re HSBC Bank Pension Trust (UK) Limited,699930-589,"153,735.03"
379,CAB,Government Property Agency,17-Dec-24,PPE - AUC Additions,PPE Additions,00000754-Tilbury Douglas Construction,3588475,"153,319.85"
380,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),P9 Man 108,"151,809.78"
381,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3193877,"150,374.37"
382,CAB,Government Property Agency,18-Dec-24,PPE - AUC Additions,PPE Additions,00000819-FES Support Services Ltd,3604247,"147,805.18"
383,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-110,"147,077.13"
384,CAB,Government Property Agency,02-Dec-24,Workplace Projects Expenditure L5,Workplace Projects Expenditure,00000288-Kier Facilities Services Ltd,3192462,"146,025.29"
385,CAB,Government Property Agency,24-Dec-24,PPE - AUC Additions,PPE Additions,00000029-AECOM Limited,3616049,"145,595.96"
386,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-117,"144,401.59"
387,CAB,Government Property Agency,23-Dec-24,Transformational Services Expenditure,Capital Projects,00000075-The Senator Group,3610029,"143,760.00"
388,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000377-Bristol City Council,718715-77,"142,506.00"
389,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,723577-15,"135,777.03"
390,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,726479-12,"135,265.26"
391,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000840-ISS Facility Services Limited,724789-6,"133,192.00"
392,CAB,Government Property Agency,16-Dec-24,Transformational Services Expenditure,Capital Projects,10000043-MACE CONSTRUCT LTD,3467178,"132,757.75"
393,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000303-Savills (RC's Rent & SC),727709-3,"132,336.00"
394,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3208852,"131,026.97"
395,CAB,Government Property Agency,19-Dec-24,ICT Expenditure,Other Operating Expenditure,10000081-MRI Software EMEA Limited (Qube),3608908,"130,198.20"
396,CAB,Government Property Agency,20-Dec-24,ICT Expenditure,Other Operating Expenditure,10000081-MRI Software EMEA Limited (Qube),3609421,"130,198.20"
397,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000397-Workman LLP - Central Receipts Account No 4,699921-235,"129,519.30"
398,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000088-Avison Young (Client A/c re London & Continental Railways),P9 Man 44,"126,630.97"
399,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000015-20 Cabot Square I TrusteeNo.1&No.2 Ltd &Canary Wha,699921-112,"126,115.16"
400,CAB,Government Property Agency,31-Dec-24,Operational Security Expenditure - Full Building Recharge,Workplace Services,00000841-G4S Secure Solutions (UK) Ltd,727646-36,"124,916.18"
401,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3225499,"124,410.05"
402,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-59,"122,366.31"
403,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000655-TotalEnergies Gas & Power,728176-570,"121,959.68"
404,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712044-8,"120,666.52"
405,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-41,"119,979.65"
406,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,10000147-ATRI7 Limited,699671-290,"118,632.76"
407,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000119-Avison Young (GVA Grimley) - RC's & utilities,P9 Man 63,"117,883.13"
408,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-239,"117,225.80"
409,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712043-14,"116,149.53"
410,CAB,Government Property Agency,19-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3608996,"114,380.10"
411,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3195193,"113,302.61"
412,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000326-J.P.Morgan Europe Ltd c/o Aviva Investors,699971-10,"112,334.48"
413,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000071-HM Revenue & Customs,712250-17,"112,312.73"
414,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000042-Birmingham City Council,718715-530,"110,554.00"
415,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,P9 Man 87,"110,126.95"
416,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000157-Stone Group,3437171,"109,295.95"
417,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000259-Colliers International Managing Agents,699921-609,"109,260.14"
418,CAB,Government Property Agency,31-Dec-24,Head Lease Service Charge Expenditure,Landlord Services,00000071-HM Revenue & Customs,712044-35,"107,647.36"
419,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,00000157-Stone Group,3610542,"106,588.03"
420,CAB,Government Property Agency,23-Dec-24,PPE - AUC Additions,PPE Additions,10000163-Kier Construction - Major Projects,3610087,"105,732.00"
421,CAB,Government Property Agency,31-Dec-24,Utilities Expenditure,Landlord Services,00000085-EDF Energy,726749-98,"105,561.58"
422,CAB,Government Property Agency,02-Dec-24,PPE - AUC Additions,PPE Additions,10000076-e-Zest Solutions Limited,3193987,"104,262.00"
423,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3203595,"103,875.00"
424,CAB,Government Property Agency,24-Dec-24,PPE - AUC Additions,PPE Additions,00000619-Swift Strategies Limited,3614586,"103,875.00"
425,CAB,Government Property Agency,12-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3341397,"103,469.82"
426,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3224811,"102,847.97"
427,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000090-Mitsubushi Estate London Limited,728208-460,"102,580.05"
428,CAB,Government Property Agency,11-Dec-24,PPE - AUC Additions,PPE Additions,00000288-Kier Facilities Services Ltd,3256091,"100,935.75"
429,CAB,Government Property Agency,03-Dec-24,PPE - AUC Additions,PPE Additions,10000134-Willmott Dixon Construction Limited,3207280,"100,531.79"
430,CAB,Government Property Agency,13-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3342158,"99,932.78"
431,CAB,Government Property Agency,30-Dec-24,PPE - AUC Additions,PPE Additions,00000197-Faithful + Gould Limited,3617324,"99,600.00"
432,CAB,Government Property Agency,20-Dec-24,PPE - AUC Additions,PPE Additions,00000509-Morris & Spottiswood Limited,3609528,"99,260.27"
433,CAB,Government Property Agency,31-Dec-24,Variable FM Expenditure - Client Requested,Workplace Services,00000587-Exchequer Partnership Plc,P9 Man 191,"98,676.22"
434,CAB,Government Property Agency,19-Dec-24,Professional Services Expenditure,Other Operating Expenditure,00000491-Ernst & Young LLP,3609036,"98,213.00"
435,CAB,Government Property Agency,31-Dec-24,Rent Expenditure,Landlord Services,00000696-Workman LLP Client Common Receipts A/c No.4,728208-400,"98,209.49"
436,CAB,Government Property Agency,31-Dec-24,Digital and Technology Services Expenditure - CR,Workplace Services,00000551-Telefonica Tech Northern Ireland Limited,P9 Man 178,"98,061.60"
437,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,723667-9,"97,957.14"
438,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-12,"97,957.14"
439,CAB,Government Property Agency,31-Dec-24,Fixed FM Expenditure - Full Building Recharge,Workplace Services,00000207-ISS Mediclean Ltd,725611-21,"97,957.14"
440,CAB,Government Property Agency,31-Dec-24,Rates Expenditure,Landlord Services,00000547-The City and County of Cardiff,718715-128,"97,146.00"
441,CAB,Government Property Agency,09-Dec-24,PPE - AUC Additions,PPE Additions,00000527-Cinos Limited,3225485,"97,004.83"
