Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Oratory Rc Primary School ,,,,,20/12/2023,3110607451,"4,849.43",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Our Lady Of Victories Rc Primary School,,,,,18/10/2023,3110588825,"3,045.15",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Our Lady Of Victories Rc Primary School,,,,,17/11/2023,3110596721,"6,631.96",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Our Lady Of Victories Rc Primary School,,,,,19/12/2023,3110607410,"5,773.86",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Oxford Gardens Primary School ,,,,,18/10/2023,3110588826,"47,505.10",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Oxford Gardens Primary School ,,,,,17/11/2023,3110596722,"38,754.17",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Oxford Gardens Primary School ,,,,,19/12/2023,3110607411,"8,788.10",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Park Walk Primary School ,,,,,18/10/2023,3110588827,"14,015.16",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Park Walk Primary School ,,,,,17/11/2023,3110596723,"6,562.02",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Park Walk Primary School ,,,,,19/12/2023,3110607412,"3,962.25",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Rbkc Colville Primary School ,,,,,18/10/2023,3110588915,"21,175.12",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Rbkc Colville Primary School ,,,,,17/11/2023,3110596719,"10,026.42",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Rbkc Colville Primary School ,,,,,19/12/2023,3110607405,"12,812.01",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Servite Rc Primary School ,,,,,18/10/2023,3110588828,"3,598.09",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Servite Rc Primary School ,,,,,18/10/2023,3110588911,"2,188.10",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Servite Rc Primary School ,,,,,19/12/2023,3110607413,"3,318.25",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Servite Rc Primary School ,,,,,20/12/2023,3110607449,"5,344.60",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Barnabas & St Philip Primary School,,,,,18/10/2023,3110588829,"10,890.77",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Barnabas & St Philip Primary School,,,,,17/11/2023,3110596724,"4,582.70",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Barnabas & St Philip Primary School,,,,,19/12/2023,3110607414,"5,414.18",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Charles Catholic Primary School ,,,,,18/10/2023,3110588830,"5,696.57",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Charles Catholic Primary School ,,,,,17/11/2023,3110596725,"2,415.46",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Charles Catholic Primary School ,,,,,19/12/2023,3110607415,"3,956.75",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Clement & St James Ce Primary School,,,,,18/10/2023,3110588831,"4,398.66",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Clement & St James Ce Primary School,,,,,19/12/2023,3110607416,"5,180.66",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Cuthbert St Matthias Ce Primary Sch.,,,,,19/12/2023,3110607417,"14,890.01",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Cuthbert St Matthias Ce Primary Sch.,,,,,20/12/2023,3110607444,"12,008.23",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Cuthbert St Matthias Ce Primary Sch.,,,,,20/12/2023,3110607445,"6,717.27",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Francis Rc Primary School ,,,,,18/10/2023,3110588832,"3,784.26",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Francis Rc Primary School ,,,,,17/11/2023,3110596726,"4,599.69",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Francis Rc Primary School ,,,,,19/12/2023,3110607418,"3,988.21",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Mary Abbots Ce Primary School ,,,,,16/10/2023,3110588111,"2,149.00",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Mary Abbots Ce Primary School ,,,,,18/10/2023,3110588833,"7,693.74",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Mary Abbots Ce Primary School ,,,,,17/11/2023,3110596727,"5,817.61",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Mary Abbots Ce Primary School ,,,,,17/11/2023,3110596734,"3,916.96",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Mary Abbots Ce Primary School ,,,,,19/12/2023,3110607419,"9,541.21",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Marys RC Primary School ,,,,,18/10/2023,3110588834,"6,717.60",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Marys RC Primary School ,,,,,17/11/2023,3110596728,"3,073.30",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Marys RC Primary School ,,,,,19/12/2023,3110607420,"4,350.14",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Thomas C E Primary School ,,,,,18/10/2023,3110588835,"6,609.68",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Thomas C E Primary School ,,,,,18/10/2023,3110588912,"6,346.97",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Thomas C E Primary School ,,,,,18/10/2023,3110588913,"9,273.72",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Thomas C E Primary School ,,,,,17/11/2023,3110596729,"5,786.87",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St Thomas C E Primary School ,,,,,19/12/2023,3110607421,"16,744.31",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St. Thomas More School ,,,,,18/10/2023,3110588837,"21,536.05",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St. Thomas More School ,,,,,17/11/2023,3110596732,"19,351.56",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,St. Thomas More School ,,,,,19/12/2023,3110607424,"18,751.01",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,The Fox Primary School ,,,,,13/10/2023,3110587779,"2,313.37",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,The Fox Primary School ,,,,,19/12/2023,3110607406,"1,081.12",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Thomas Jones Primary School ,,,,,18/10/2023,3110588836,"8,627.23",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Thomas Jones Primary School ,,,,,17/11/2023,3110596730,"5,577.49",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Thomas Jones Primary School ,,,,,17/11/2023,3110596739,"8,620.06",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Schools,Schools Finance,,Thomas Jones Primary School ,,,,,19/12/2023,3110607422,"7,175.00",,Holding Account : Reimbursement to Schoo,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Auditel Rental and Service Ltd ,1231176,,,,08/11/2023,2200354543,"6,770.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,11/10/2023,2200349100,505.80,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,03/11/2023,2200353924,"2,680.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,03/11/2023,2200353924,"3,600.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,03/11/2023,2200353924,"3,200.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,03/11/2023,2200353924,770.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,09/11/2023,2200354842,"1,925.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Borer Data Systems Ltd ,1232951,,,,14/11/2023,2200356008,"7,464.85",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Cloud Booking Ltd ,1233413,,,,11/12/2023,2200361308,960.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Cloud Booking Ltd ,1233413,,,,11/12/2023,2200361308,"1,374.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Elior UK PLC,1257210,,,,13/10/2023,2200349682,"7,668.42",,Catering,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,MRI Software Ltd,1280962,,,,11/12/2023,2200361383,"7,875.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Spaceology Limited,1285125,,,,20/10/2023,2200350742,"2,850.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Spaceology Limited,1285125,,,,30/10/2023,2200352663,700.00,,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Spaceology Limited,1285125,,,,30/10/2023,2200352663,"3,000.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Spaceology Limited,1285125,,,,30/10/2023,2200352665,"2,500.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Spaceology Limited,1285125,,,,04/12/2023,2200359950,"11,430.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Customer Delivery,Corporate Safety & Work Place Facilities,,Super Fast Service Ltd,1278664,,,,03/10/2023,2200347417,"2,156.00",,Creditors Control : AP GRIR,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,11/10/2023,3110587420,"1,764.64",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,08/11/2023,3110594931,"1,830.00",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,06/12/2023,3110603443,"1,830.00",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,DMP Healthcare (Ogilvy) Limited,,,,,11/10/2023,3110587624,"1,877.19",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,DMP Healthcare (Ogilvy) Limited,,,,,08/11/2023,3110594898,"1,946.72",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,MMCG (2) Ltd (Maria Mallaband Care Group Ltd),,,,,11/10/2023,3110587368,"2,121.43",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,MMCG (2) Ltd (Maria Mallaband Care Group Ltd),,,,,08/11/2023,3110594835,"2,200.00",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,MMCG (2) Ltd (Maria Mallaband Care Group Ltd),,,,,06/12/2023,3110603390,"2,200.00",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Prima Healthcare Limited,,,,,11/10/2023,3110587325,"1,225.34",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Prima Healthcare Limited,,,,,08/11/2023,3110595044,"1,270.72",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Prima Healthcare Limited,,,,,06/12/2023,3110603338,"1,270.72",,Adults Continuing Health Care Funded Pla,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Ashton Lodge Limited,,,,,06/12/2023,3110603444,"5,014.29",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,AGINCARE (SOUTHWARK) LIMITED,,,,,11/10/2023,3110587495,"2,700.00",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,AGINCARE (SOUTHWARK) LIMITED,,,,,08/11/2023,3110595022,"2,800.00",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,AGINCARE (SOUTHWARK) LIMITED,,,,,06/12/2023,3110603513,"2,800.00",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Abode Care Homes Ltd Creedy House,,,,,11/10/2023,3110587351,"3,520.26",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Abode Care Homes Ltd Creedy House,,,,,08/11/2023,3110594821,"3,650.64",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Abode Care Homes Ltd Creedy House,,,,,06/12/2023,3110603374,"3,650.64",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,11/10/2023,3110587506,"4,261.76",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,11/10/2023,3110587506,648.00,,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,08/11/2023,3110595033,672.00,,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,08/11/2023,3110595033,"4,419.60",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,06/12/2023,3110603523,672.00,,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Alverstoke House Nursing Home,,,,,06/12/2023,3110603523,"4,419.60",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd,,,,,11/10/2023,3110587408,"3,248.18",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd,,,,,08/11/2023,3110594919,"3,368.48",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd,,,,,06/12/2023,3110603430,"3,368.48",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,11/10/2023,3110587369,"4,669.15",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,11/10/2023,3110587505,"4,534.15",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,08/11/2023,3110594836,"4,842.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,08/11/2023,3110595032,"4,702.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,06/12/2023,3110603391,"4,842.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Bondcare (London) Ltd Fern Gardens,,,,,06/12/2023,3110603522,"4,702.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/a Meadbank Nursing Home,,,,,11/10/2023,3110587338,"4,007.15",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/a Meadbank Nursing Home,,,,,08/11/2023,3110595057,"4,155.56",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/a Meadbank Nursing Home,,,,,06/12/2023,3110603352,"4,155.56",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Kensington Nursing Home,,,,,11/10/2023,3110587362,"8,526.29",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Kensington Nursing Home,,,,,08/11/2023,3110594829,"8,842.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Kensington Nursing Home,,,,,06/12/2023,3110603384,"8,842.08",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,11/10/2023,3110587420,"1,642.03",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,08/11/2023,3110594931,"1,958.44",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Care UK Community Partnerships Ltd ,,,,,06/12/2023,3110603443,"1,958.44",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,DMP Healthcare (Ogilvy) Limited,,,,,11/10/2023,3110587624,"2,041.62",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,DMP Healthcare (Ogilvy) Limited,,,,,08/11/2023,3110594898,"2,117.24",,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,DMP Healthcare (Ogilvy) Limited,,,,,06/12/2023,3110603640,687.68,,Nursing Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Denville House,,,,,11/10/2023,3110587526,"5,110.71",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Denville House,,,,,08/11/2023,3110595084,"5,300.00",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,T/A Denville House,,,,,06/12/2023,3110603544,"5,300.00",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Gold Care Homes Ltd ,,,,,11/10/2023,3110587294,"3,548.92",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Gold Care Homes Ltd ,,,,,11/10/2023,3110587377,"3,548.92",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Gold Care Homes Ltd ,,,,,11/10/2023,3110587461,"3,548.92",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Gold Care Homes Ltd ,,,,,11/10/2023,3110587513,"3,548.92",,Residential Home Bed,,,,,,0,,,,
The Royal Borough of Kensington and Chelsea,RBKC,,Director Adult Social Care,Head of Service Care and Assessment RBKC,,Gold Care Homes Ltd ,,,,,11/10/2023,3110587518,"3,548.92",,Residential Home Bed,,,,,,0,,,,
