Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Area,Merchant Category
,AMAZON,,29.96,0.00,Environmental Health Admin,Office Stationery,stationery
,AMAZON,,7.79,0.00,Environmental Health Admin,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,18.98,3.16,Office Services,Office Stationery,stationery
,AMAZON,,99.60,16.59,Facilities Management,Operational Equipment Maint.,coffee cups
,SUBSCRIPTION TESCO,,6.99,0.00,Corporate Management,Bank Charges,tea trolley provisions
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,34.20,5.70,Office Services,Office Stationery,stationery
,BOOKER LTD,,219.90,0.00,Office Services,Office Stationery,tea trolley provisions
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,80.26,13.38,Office Services,Office Stationery,stationery
,AMAZON,,29.63,4.95,Office Services,Office Stationery,stationery
,AMAZON,,73.10,12.18,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,32.11,5.36,Office Services,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,24.00,4.00,Office Services,Office Stationery,car parks notice board
,AMAZON,,44.50,7.42,Office Services,Office Stationery,car parks notice boards
,AMAZON,,99.77,16.63,Legal,Books & publications,legal book request
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,18.21,3.03,Office Services,Office Stationery,stationery
,AMAZON,,30.20,5.03,Office Services,Office Stationery,stationery
,AMAZON,,40.86,6.81,Office Services,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,41.76,6.96,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,11.48,1.91,Office Services,Office Stationery,stationery
,AMAZON,,25.28,4.22,Office Services,Office Stationery,stationery
,AMAZON,,43.49,7.25,Office Services,Office Stationery,stationery
,WWW.AFFINITYWATER.CO.U,,208.80,34.80,Planned Maintenance Programme,Programmed Maintenance,Lammas Drive
,AMAZON,,12.67,2.11,Office Services,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley provisions
,AMAZON,,10.29,1.72,Office Services,Office Stationery,stationery
,AMAZON,,76.81,12.80,Office Services,Office Equipment Purchase,equipment
,AMAZON,,76.81,12.80,Office Services,Office Stationery,equipment
,ADOBE,,88.47,0.00,IT Overheads & Infrastructure,Computer Software,creative cloud
,THE RETREAT,,75.00,0.00,IT Administration,Other Miscellaneous Expenses,team building lunch
,THE RETREAT,,318.73,0.00,IT Administration,Other Miscellaneous Expenses,team building lunch
,GOOGLE GSUITE_KG-ESTAT,,24.00,0.00,Asset Management Admin,Computer Software,KGEL DOMAIN
,JUSTPARK PARKING LIMIT,,5.00,0.00,Housing Needs Administration,Car Mileage Allowance,parking Woking coroners
,SHELTER TRADING LTD,,102.00,17.00,Housing Needs Administration,Other training,renter rights training Sarah Morrison
,SRA,,"2,779.00",0.00,Legal,Professional subscriptions,Practise certificates for solicitors
,TESCO STORES 2538,,125.00,0.00,Rough Sleep Initiative,Housing First,client vouchers
,ALLPAY *ADOMINION HOU,,21.66,0.00,Rough Sleep Initiative,Housing First,TA rent in advance for client MG
,TESCO STORES 2047,,165.85,0.00,Rough Sleep Initiative,Housing First,Moving home provisions for client MG
,SHELTER TRADING,,204.00,34.00,Housing Needs Administration,Other training,Renters Rights Bill trng for 2 colleagues
,WWW.ARGOS.CO.UK,,-300.00,0.00,LAHF properties,Purchase of Furniture,Domestic curtains refund
,WWW.ARGOS.CO.UK,,305.95,0.00,LAHF properties,Purchase of Furniture,Domestic curtains
