Beneficiary,Transactiosn Date,TransNo,Procurement,Purpose of Spend,Organisation,Amount
AMZNMktplace TA1XU96H4,23/10/2024,31178707,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,14.99
AMZNMktplace TH0GL4PH4,23/10/2024,31178559,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,12.25
AMZNMktplace TO6AB8QM4,23/10/2024,31178422,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,10.29
AMZNMktplace TO6GO6HF4,23/10/2024,31178403,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,11.75
AMZNMktplace TO6RY0UW4,23/10/2024,31178754,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,39.92
AMZNMktplace TO9U57C04,23/10/2024,31178829,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,33.20
AMZNMktplace TQ0P81TN4,23/10/2024,31178526,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,6.92
AMZNMktplace YE5P49165,23/10/2024,31178769,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,81.46
BASELINE MARINE,23/10/2024,31178820,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,46.66
BOOKING.COM,23/10/2024,31178518,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,"3,647.05"
BURRS C P CLUB SITE,23/10/2024,31178645,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,40.20
Canva  04292-55213573,23/10/2024,31178501,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,10.99
CHERWELL VALLEY COSTA,23/10/2024,31178753,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,37.12
COSTA COFFEE 43010647,23/10/2024,31178421,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,20.42
DELTA RUBBER,23/10/2024,31178831,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,41.11
FlyTAP Ti 0,23/10/2024,31178776,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
FlyTAP Ti 0,23/10/2024,31178791,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
FlyTAP Ti 0,23/10/2024,31178442,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
FlyTAP Ti 0,23/10/2024,31178524,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
FlyTAP Ti 0,23/10/2024,31178686,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
FlyTAP Ti 0,23/10/2024,31178719,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,138.40
GWQ APARTMENTS,23/10/2024,31178500,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,90.00
Hotel at Booking.com,23/10/2024,31178417,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,"2,820.00"
INST OF ADV MOTORI,23/10/2024,31178846,Indirect Employee Allowances,Devolved Training,Greater Manchester Combined Authority,-215.00
L M S (LICHFIELD) LTD,23/10/2024,31178695,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,54.00
M6 TOLL,23/10/2024,31178546,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,9.70
METROL SPRINGS LIMITED,23/10/2024,31178470,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,164.52
MOTORSAVE LIMITED,23/10/2024,31178579,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,27.00
NANDOS PORTSMOUTH,23/10/2024,31178611,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,235.15
PAYPAL  WEBFITTINGS,23/10/2024,31178801,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,27.70
POST OFFICE COUNTER,23/10/2024,31178577,"Supplies, Services & Other Expenses",Postage,Greater Manchester Combined Authority,5.99
RUBBERMATTING,23/10/2024,31178431,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,236.50
"SLIM CHICKENS, PORTSMO",23/10/2024,31178658,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,36.85
SQ  DENT DETAIL PDR,23/10/2024,31178786,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,144.00
SQ  ROPELOCKER,23/10/2024,31178616,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,23.83
SUBWAY 64620 Warwick S,23/10/2024,31178576,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,65.82
Tap and Tandoor,23/10/2024,31178836,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,245.75
TBWS WELDING SUPPLIES,23/10/2024,31178881,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,122.70
TEAL PATENTS LTD,23/10/2024,31178767,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,29.40
WARRINGTON TRANSMISSIO,23/10/2024,31178662,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,"1,434.00"
WWW.ACCOUNTS@IIA.ORG.U,23/10/2024,31166765,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,202.80
WWW.AMAZON.  T65GY4K04,23/10/2024,31178508,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,17.41
WWW.AMAZON.  TH6ZR2HD4,23/10/2024,31178425,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,28.03
WWW.GSPRODUCTS.CO.UK,23/10/2024,31178437,Transport Related Expenditure,Repairs and Maintenance - Transport,Greater Manchester Combined Authority,58.31
ASPARES,24/10/2024,31178538,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,25.05
B & Q 1057,24/10/2024,31178411,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,27.49
B & Q 1229,24/10/2024,31178434,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,56.15
B & Q 1229,24/10/2024,31178453,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,38.74
B & Q 1229,24/10/2024,31178784,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,34.18
B & Q 1229,24/10/2024,31178818,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,23.79
Dulux Decorator Centre,24/10/2024,31178471,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,42.01
Dunelm F0730,24/10/2024,31178556,Premises Related Expenditure,Fixtures & Fittings,Greater Manchester Combined Authority,7.00
eBay O 03-12119-17442,24/10/2024,31178766,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,4.99
eBay O 08-12081-13272,24/10/2024,31178619,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,26.99
George Hill Bolton Bol,24/10/2024,31178795,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,43.20
George Hill Bolton Bol,24/10/2024,31178800,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,396.72
George Hill Bolton Bol,24/10/2024,31178567,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,32.40
George Hill Bolton Bol,24/10/2024,31178617,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,652.44
Intuit Ltd Mailchimp,24/10/2024,31178880,"Supplies, Services & Other Expenses",Events,Greater Manchester Combined Authority,18.48
MURFIX LIMITED,24/10/2024,31178443,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,42.55
MURFIX LIMITED,24/10/2024,31178674,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,50.92
PERTONSTORE COM LTD,24/10/2024,31178691,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,335.95
SCREWFIX DIR LTD,24/10/2024,31178444,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,35.56
SCREWFIX DIR LTD,24/10/2024,31178528,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,15.65
SCREWFIX DIR LTD,24/10/2024,31178697,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,23.98
SCREWFIX DIR LTD,24/10/2024,31178396,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,65.76
SCREWFIX DIR LTD,24/10/2024,31178636,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,23.96
SCREWFIX DIR LTD,24/10/2024,31178861,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,187.96
SCREWFIX DIR LTD,24/10/2024,31178886,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,84.17
SCREWFIX DIRECT,24/10/2024,31178804,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,80.80
SCREWFIX DIRECT,24/10/2024,31178602,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,171.30
SELCO TRADING CTR,24/10/2024,31178466,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,36.44
SELCO TRADING CTR,24/10/2024,31178480,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,29.14
SELCO TRADING CTR,24/10/2024,31178682,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,35.21
ST GEORGE GLASS,24/10/2024,31178871,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,71.10
TOOLSTATION LTD,24/10/2024,31178770,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,16.96
TOOLSTATION LTD,24/10/2024,31178771,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,55.08
TOOLSTATION LTD,24/10/2024,31178628,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,61.12
TOOLSTATION LTD,24/10/2024,31178632,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,207.28
TOOLSTATION LTD,24/10/2024,31178710,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,59.72
Trackmaster Window Bli,24/10/2024,31178718,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,15.00
WWW.CATERKWIK.CO.UK,24/10/2024,31178529,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,299.98
WWW.CATERKWIK.CO.UK,24/10/2024,31178560,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,299.98
AIRBNB   HMMDMK45EJ,25/10/2024,31163782,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,"1,643.02"
AMZNMktplace XV8DR06I5,25/10/2024,31178659,"Supplies, Services & Other Expenses",Detection Identification and Monitoring,Greater Manchester Combined Authority,33.46
B&M 718 ATHERTON,25/10/2024,31178409,"Supplies, Services & Other Expenses",Detection Identification and Monitoring,Greater Manchester Combined Authority,32.00
CITY NATION PLACE,25/10/2024,31178533,Employees Pay,Agency Staff Costs,Greater Manchester Combined Authority,396.00
EVENT  NO5 CHAMBERS,25/10/2024,31171201,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
EVENT  NO5 CHAMBERS,25/10/2024,31171317,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
EVENT  NO5 CHAMBERS,25/10/2024,31171406,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,12.00
Gigantic1147-1763-0608,25/10/2024,31163776,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,359.98
Indian Tiffin Room Man,25/10/2024,31166804,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,33.28
Indian Tiffin Room Man,25/10/2024,31166810,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,582.07
NOVOTEL MANCHESTER WES,25/10/2024,31178459,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,37.10
RTPI,25/10/2024,31171440,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,90.00
SQUARESPACE 129611972,25/10/2024,31169171,"Supplies, Services & Other Expenses",Computer Software,Greater Manchester Combined Authority,244.80
TESCO STORES 5588,25/10/2024,31178509,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,13.43
TICKETWEB T4,25/10/2024,31163928,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,"1,114.40"
UNVRS  VENUES DAY 2024,25/10/2024,31178709,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,336.00
UNVRS  VENUES DAY 2024,25/10/2024,31178799,"Supplies, Services & Other Expenses",Conference,Greater Manchester Combined Authority,336.00
ESSO CHERWELL VALLEY,26/10/2024,31178672,Transport Related Expenditure,Fuel,Greater Manchester Combined Authority,83.92
MANCHESTER PICCOLINO,26/10/2024,31152512,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,119.80
AIRUS LTD,28/10/2024,31178591,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,300.00
AIRUS LTD,28/10/2024,31178683,Transport Related Expenditure,Officers Travel & Subsistence,Greater Manchester Combined Authority,15.00
AMAZON  204-0908136-14,28/10/2024,31166726,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,25.96
AMZNMktplace 572AY59E5,28/10/2024,31178868,"Supplies, Services & Other Expenses",Stationery,Greater Manchester Combined Authority,60.23
ASDA GROCERIES ONLINE,28/10/2024,31178408,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,-1.31
ASDA GROCERIES ONLINE,28/10/2024,31178813,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,233.79
ASDA STORES,28/10/2024,31178833,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,22.96
ASDA STORES 4840,28/10/2024,31176142,"Supplies, Services & Other Expenses",Subsistence,Greater Manchester Combined Authority,20.80
B & Q 1360,28/10/2024,31178555,Premises Related Expenditure,Responsive Repairs & Maintenance,Greater Manchester Combined Authority,50.03
