BODY,NAME,EXPENSE AREA,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11577287,45098,-7.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577345,45084,84.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577346,45084,217.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577347,45084,88.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577348,45084,328.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577349,45084,970.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577350,45084,327.33
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577351,45084,257.14
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577352,45084,30.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577353,45084,62.27
Rotherham Metropolitan Borough Council,Regeneration & Environment,BRYTONE LTD,Catering Equipment,11577361,45097,271.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,BRYTONE LTD,Catering Equipment,11577362,45097,741.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577370,45084,50.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577371,45084,131.55
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11577372,45084,5.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Fire Alarm Maintenance Or Monitoring,11577447,45083,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,ACE JANITORIAL SUPPLIES LTD,Ppe Tools And Janitorial Supplies,11577455,45089,265.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ACE JANITORIAL SUPPLIES LTD,Ppe Tools And Janitorial Supplies,11577457,45089,1194.08
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11579292,45091,6427.52
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11579299,45083,177.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,DIRECT TRAFFIC MANAGEMENT LTD,Road Markings And Traffic Management,11579300,45083,1144.8
Rotherham Metropolitan Borough Council,Adult Care & Housing,ST LEGER BDI LTD,Telecoms,11579316,45086,3392.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579333,45098,49.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579334,45097,274.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579337,45097,297.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579338,45098,52.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,BATLEYS FOODSERVICE,Food And Drink,11579339,45097,-49.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579341,45097,156.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579342,45097,141.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579344,45098,143.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579345,45097,301.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579346,45097,107.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579347,45097,258.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,BRYTONE LTD,Catering Equipment,11579375,45083,4607.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARDEN WINCH & CO LTD,Ppe Tools And Janitorial Supplies,11579378,45089,80.76
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARDEN WINCH & CO LTD,Ppe Tools And Janitorial Supplies,11579379,45089,1026.55
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11579403,45096,154.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11579403,45096,-34.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11579404,45096,154.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,ARROW COMMERCIAL CENTRE HUDDERSFIELD LTD,Fleet Hire And Purchase Financing,11579404,45096,-34.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11579407,45097,1449.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11579407,45097,-325.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11579408,45097,1449.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11579408,45097,-325.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11579416,45090,898
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,JULIE FOWLER,Training Services,11579417,45090,975
Rotherham Metropolitan Borough Council,Regeneration & Environment,KD THEATRE PRODUCTIONS LTD,Sporting Entertainment & Culture,11579420,45085,2272.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579421,45098,-16.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579422,45098,-18.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11579424,45098,-16.49
Rotherham Metropolitan Borough Council,Assistant Chief Executive,SIGNS DIRECT (YORKSHIRE) LTD,General Signage,11579425,45084,833.07
Rotherham Metropolitan Borough Council,Regeneration & Environment,PARENTPAY LTD,Banking Leasing And Insurance,11579482,45100,1590
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580270,45090,-6.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580282,45090,172.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580283,45090,277.02
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580284,45090,429.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580285,45090,175.52
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580286,45090,319.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580287,45090,458.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580288,45090,226.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,AECOM INFRASTRUCTURE & ENVIRONMENT UK,Consultancy,11580295,45105,3900
Rotherham Metropolitan Borough Council,Adult Care & Housing,INSIGHT DIRECT (UK) LTD,Technology,11580296,45085,50.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,JOBLING PURSER LTD,Re-Instatement Materials,11580298,45085,439.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580305,45090,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580305,45090,27.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580306,45084,483.44
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Fire Alarm Maintenance Or Monitoring,11580307,45091,32.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,CEMEX UK OPERATIONS LTD,Re-Instatement Materials,11580308,45083,179.13
Rotherham Metropolitan Borough Council,Assistant Chief Executive,WIDER PLAN LTD,Supporting People - Childcare Fees,11580310,45091,1200
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHEFFLOCK,Security,11580318,45090,140.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHEFFLOCK,Security,11580319,45090,200.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,CCDev Installation And Maintenance,11580320,45086,523.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHEFFLOCK,Security,11580321,45090,140.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHEFFLOCK,Security,11580322,45090,140.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,SURE MAINTENANCE LTD,Repair And Maintenance,11580334,45097,108
Rotherham Metropolitan Borough Council,Regeneration & Environment,SURE MAINTENANCE LTD,Repair And Maintenance,11580337,45103,240
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580339,45083,64
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580341,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580342,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580343,45099,1200
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580344,45085,800
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580345,45083,192.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580346,45083,218
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580347,45083,128
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580348,45083,213
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580349,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580350,45085,380
Rotherham Metropolitan Borough Council,Adult Care & Housing,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580351,45083,167
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580353,45083,45
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580360,45083,101
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580361,45085,450
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580363,45085,210
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580364,45083,69
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580365,45083,96
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580367,45083,92
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580368,45085,360
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580369,45083,60
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580371,45083,40
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580372,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580373,45085,341
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580374,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580375,45083,133
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580377,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580378,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580379,45083,190
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580380,45083,126
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11580381,45083,32
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11580385,45090,179.03
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11580386,45090,489.67
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11580387,45090,118.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11580388,45090,51.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,THE HEAVENLY COFFEE COMPANY,Food And Drink,11580389,45090,5.2
Rotherham Metropolitan Borough Council,Adult Care & Housing,ASPECT TRAINING,Training Services,11580396,45090,500
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11580403,45096,132.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11580404,45090,243.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,SURE MAINTENANCE LTD,Repair And Maintenance,11580411,45097,656.63
Rotherham Metropolitan Borough Council,Regeneration & Environment,KEYLINE BUILDERS MERCHANTS LTD,Re-Instatement Materials,11580412,45085,1540.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580416,45084,445.57
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580417,45084,217.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580418,45084,217.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,LYNDHURST COOLING & HEATING SERVICES LTD,Repair And Maintenance,11580425,45083,435.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Electrical Controls And Access Equipment,11580428,45083,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580429,45090,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580429,45090,450
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580430,45090,64.37
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580430,45090,380.63
Rotherham Metropolitan Borough Council,Adult Care & Housing,PEART ACCESS RAMPS LTD,New Build & Major Refurb Trades,11580433,45091,3916
Rotherham Metropolitan Borough Council,Regeneration & Environment,SIEMENS FINANCIAL SERVICES LTD,Banking Leasing And Insurance,11580435,45107,609
Rotherham Metropolitan Borough Council,Regeneration & Environment,SIEMENS FINANCIAL SERVICES LTD,Banking Leasing And Insurance,11580437,45107,3136.6
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580438,45090,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580438,45090,27.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580439,45083,839
Rotherham Metropolitan Borough Council,Regeneration & Environment,CID,Ppe Tools And Janitorial Supplies,11580440,45091,615.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580441,45090,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580441,45090,57.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11580442,45097,1449.97
Rotherham Metropolitan Borough Council,Regeneration & Environment,DAWSONGROUP BUS AND COACH LTD,Taxi Mini Bus Coach Operations,11580442,45097,-325.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580444,45084,443.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,WESTONWILLIAMSON AND PARTNERS LLP,Consultancy,11580457,45086,37430.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,PARKARE LIMITED,"Traffic Safety Products Eg, Co",11580459,45083,1092.48
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580460,45097,200.67
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580461,45097,423.47
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580462,45097,271.03
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580463,45097,196.46
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580464,45097,7.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580465,45097,246.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580467,45098,228.05
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580468,45098,258.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580469,45098,197.79
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11580471,45084,287
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,REDACTED,Respite Care Services,11580472,45084,1312
Rotherham Metropolitan Borough Council,Adult Care & Housing,SIGNS EXPRESS LTD,General Signage,11580477,45103,3470.77
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580482,45083,255
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580493,45092,300
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580494,45092,640
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580496,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580497,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580498,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580499,45092,180
Rotherham Metropolitan Borough Council,Adult Care & Housing,NEIL HUTTON,Removal Services,11580500,45092,180
Rotherham Metropolitan Borough Council,Regeneration & Environment,VENN GROUP LIMITED,Agency Staff Services,11580501,45090,401.87
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580502,45084,6
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580503,45084,409.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580504,45084,50.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580506,45084,61.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11580507,45091,2570.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,HARSCO METALS GROUP LTD,Re-Instatement Materials,11580508,45091,1170
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580514,45084,61.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,SHARROCK LTD,Vehicle Repair And Maintenance,11580515,45084,40.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,VERSALIFT DISTRIBUTORS (UK) LTD,Transport Operations And Logistics,11580518,45106,673.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580561,45090,78.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,DB ENTERTAINMENT,Sporting Entertainment & Culture,11580566,45086,2238
Rotherham Metropolitan Borough Council,Regeneration & Environment,BATLEYS FOODSERVICE,Food And Drink,11580568,45097,502.12
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580569,45098,-4.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580570,45098,-29.68
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580571,45098,-0.7
Rotherham Metropolitan Borough Council,Regeneration & Environment,A F BLAKEMORE AND SON LTD,Food And Drink,11580572,45098,-7.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,TIFFIN SANDWICHES LTD,Food And Drink,11580573,45090,141.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,CAMBRIDGE PUBLISHERS LTD,Advertising Services,11580586,45105,814
Rotherham Metropolitan Borough Council,Regeneration & Environment,ANALAN SUPPLIES LTD,Ppe Tools And Janitorial Supplies,11580589,45083,502.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,STREETWISE SERVICES LTD,Road Markings And Traffic Management,11580592,45085,2200
Rotherham Metropolitan Borough Council,Adult Care & Housing,LANTEN METERING SERVICES LTD,Energy,11580595,45083,1601.5
Rotherham Metropolitan Borough Council,Adult Care & Housing,LANTEN METERING SERVICES LTD,Energy,11580596,45083,260.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580649,45090,36.87
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580649,45090,144.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580650,45090,36.87
Rotherham Metropolitan Borough Council,Regeneration & Environment,DFP SERVICES LTD,Repair And Maintenance,11580650,45090,417.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,LYRECO UK LTD,Stationery Furniture & It Consumables,11580861,45096,326.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,FINDEL EDUCATION LTD,Educational Equipment & Resources,11581257,45090,12.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,YORKSHIRE PURCHASING ORGANISATION,Stationery Furniture & It Consumables,11581260,45085,1104
Rotherham Metropolitan Borough Council,Regeneration & Environment,YORKSHIRE PURCHASING ORGANISATION,Stationery Furniture & It Consumables,11581261,45085,57.9
Rotherham Metropolitan Borough Council,Assistant Chief Executive,ROYAL MAIL,Postal And Courier Services,11581276,45105,4032.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,NISBETS,Catering Equipment,11581280,45089,24.99
Rotherham Metropolitan Borough Council,Assistant Chief Executive,ROYAL MAIL,Postal And Courier Services,11581309,45105,6650.55
Rotherham Metropolitan Borough Council,Finance & Customer Services,ROYAL MAIL,Postal And Courier Services,11581317,45089,78.88
Rotherham Metropolitan Borough Council,Regeneration & Environment,BROOK LEGAL ADMIN SERVICES,Licence & Professional Fees,11581319,45110,127
Rotherham Metropolitan Borough Council,Regeneration & Environment,BROOK LEGAL ADMIN SERVICES,Licence & Professional Fees,11581320,45110,306
Rotherham Metropolitan Borough Council,Regeneration & Environment,BROOK LEGAL ADMIN SERVICES,Licence & Professional Fees,11581321,45110,246
Rotherham Metropolitan Borough Council,Regeneration & Environment,BROOK LEGAL ADMIN SERVICES,Licence & Professional Fees,11581322,45110,110
Rotherham Metropolitan Borough Council,Adult Care & Housing,DA LANGUAGES LTD,Translation & Interpretation,11581333,45086,1165.86
Rotherham Metropolitan Borough Council,Finance & Customer Services,ROYAL MAIL,Postal And Courier Services,11581343,45089,88.66
Rotherham Metropolitan Borough Council,Finance & Customer Services,RICOH UK LTD,Photocopiers And Mfds,11581348,45093,2535
Rotherham Metropolitan Borough Council,Regeneration & Environment,CURRYS PC WORLD BUSINESS,Technology,11581399,45090,49.99
Rotherham Metropolitan Borough Council,Adult Care & Housing,BACK CARE SOLUTIONS LTD,Stationery Furniture & It Consumables,11581401,45090,937
Rotherham Metropolitan Borough Council,Adult Care & Housing,PRISM MEDICAL UK LTD,Health And Hygiene Equipment,11581403,45107,2177.58
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581492,45083,78
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581493,45083,134
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581494,45083,64
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581495,45083,122
Rotherham Metropolitan Borough Council,Adult Care & Housing,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581496,45083,128
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581497,45083,59.95
Rotherham Metropolitan Borough Council,Children & Young Peoples Serv,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581498,45083,256
Rotherham Metropolitan Borough Council,Regeneration & Environment,PROVIDENCE MAINTENANCE & ELECTRICAL,Repair And Maintenance,11581501,45083,128
