Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Type
VIP SECURITY (ESSEX) LTD,Security Personnel,30-Apr-24,"£1,036.04",PO00041489,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£3,670.00",PO00041531,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,130.00",PO00041506,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,240.00",PO00041503,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,245.00",PO00041514,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,390.00",PO00041485,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,620.00",PO00041508,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,760.00",PO00041504,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,760.00",PO00041505,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,830.00",PO00041513,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£4,840.00",PO00041507,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£5,110.00",PO00041501,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£5,110.00",PO00041502,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£5,215.00",PO00041511,Purchase order

BAILEY VENNING ASSOCIATES LIMITED,Consultancy,30-Apr-24,"£5,250.00",PO00041520,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£5,530.00",PO00041486,Purchase order

Nickolds Property Management,Homelessness Provision,30-Apr-24,"£5,530.00",PO00041487,Purchase order

CHELMSFORD CHESS,Homelessness Provision,30-Apr-24,"£6,500.00",PO00041538,Purchase order

KI SOUND & LIGHT LTD BRAINTREE,,30-Apr-24,£305.38,,Procurement card

DVLA VEHICLE TAX - YS22LLJ,,30-Apr-24,£337.50,,Procurement card

DVLA VEHICLE TAX - KR23ZBJ,,30-Apr-24,£347.50,,Procurement card

GEAR4MUSIC LIMITED YORK,,30-Apr-24,£372.99,,Procurement card

DVLA VEHICLE TAX - VX22ZGC,,30-Apr-24,£452.50,,Procurement card

DVLA VEHICLE TAX -VK23SPX,,30-Apr-24,£452.50,,Procurement card

TRP7 LTD HAMPSHIREAccess ramp,,30-Apr-24,£552.00,,Procurement card

PRINT MARKETPLACE 40 2802345,,30-Apr-24,£557.86,,Procurement card

STEVEN EAGELL CHELMSFO CHELMSFORD,,30-Apr-24,£619.90,,Procurement card

FACEBK  844VE3U9K2 FB.ME/ADS,,30-Apr-24,£700.00,,Procurement card

PRINT MARKETPLACE 40 2802345,,30-Apr-24,£852.88,,Procurement card

WWW.BRITISHGAS.CO. BRITISHGAS.CO,,30-Apr-24,£885.51,,Procurement card

election consumables,,30-Apr-24,£885.82,,Procurement card

STEVEN EAGELL CHELMSFO CHELMSFORD,,30-Apr-24,"£1,000.00",,Procurement card

PRINT MARKETPLACE 40 2802345,,30-Apr-24,"£1,945.79",,Procurement card

FLIPSNACK.COM STERLING HEIG,,30-Apr-24,"£2,094.40",,Procurement card

DECISO SALES B.V. MIDDELHARNIS2x 3800 opnsense firewalls,,30-Apr-24,"£3,202.97",,Procurement card

BOOKER LTD,Bar Stock,30-Apr-24,"£1,645.91",,Direct Debit

