Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:  7,,,,,,,,,,
Start Date:  17 September 2023,,,,,,,,,,
End Date: 14 October 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190128,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190196,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190242,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190258,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190261,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190348,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190352,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190354,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190367,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190369,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190389,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190390,04 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190620,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190627,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190638,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190639,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190640,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190641,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190643,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190644,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190646,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190647,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190648,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190649,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190659,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190663,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190664,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190665,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190666,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190674,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190679,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190721,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190722,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190728,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190729,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190769,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190853,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190854,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190855,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190857,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190968,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190969,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191092,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191325,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191366,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191405,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191410,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191415,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191421,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191425,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191427,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191434,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191440,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191443,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191449,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191451,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191453,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191454,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191456,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191491,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191492,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191493,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191507,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191547,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191548,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191684,11 Oct 2023,"£2,314",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191686,11 Oct 2023,"£2,314",,,,,
TRANSPORT TRADING LTD,One Time Supplier - Fares11011985172024,Fares Refund Control  (TTL Only),1004/1101198517,18 Sep 2023,"£2,313",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189217,27 Sep 2023,"£2,312",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190426,04 Oct 2023,"£2,312",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900191054,11 Oct 2023,"£2,312",,,,,
LONDON UNDERGROUND LTD,Computacenter Plc,Computer Hardware,1005/5110325872,03 Oct 2023,"£2,311",,,,,
LONDON UNDERGROUND LTD,Reed Specialist Recruitment Ltd,Agency Staff,1005/1900268475,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187213,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187349,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187445,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187505,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187506,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187507,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187519,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187715,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187720,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187773,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187790,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187947,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900187950,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188008,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188076,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188115,20 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188387,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188395,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188397,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188405,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188410,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188411,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188414,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188416,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188419,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188434,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188436,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188542,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188543,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188544,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188551,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188555,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188558,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188587,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188593,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188596,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188597,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188648,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188662,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188691,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188715,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188716,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188717,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188723,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188731,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188732,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188765,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188779,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188800,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188803,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188825,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188835,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188856,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188860,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188863,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188867,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188870,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188875,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188877,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188906,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188925,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188928,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188931,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900188963,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189024,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189044,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189048,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189050,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189052,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189056,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189105,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189107,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189165,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189170,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189172,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189188,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189191,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189200,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189260,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189297,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189313,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189318,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189322,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189324,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189332,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189341,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189342,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189363,27 Sep 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189443,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189477,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189478,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189479,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189480,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189481,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189483,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189570,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189578,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189581,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189583,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189584,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189585,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189590,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189593,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189594,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189599,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189606,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189608,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189625,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189627,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189696,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189709,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189733,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189743,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189782,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189797,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189798,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189800,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189801,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189802,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189804,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189805,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189813,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189824,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189826,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189827,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189833,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189839,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189842,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189843,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189851,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189852,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189903,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189921,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189922,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189927,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189934,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189945,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900189946,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190015,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190017,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190021,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190023,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190024,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190026,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190027,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190030,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190031,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190075,04 Oct 2023,"£2,311",,,,,
TFL CORPORATE,Reed Specialist Recruitment Ltd,Agency Staff,1001/1900190079,04 Oct 2023,"£2,311",,,,,
