Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:   4,,,,,,,,,,
Start Date:  25 June 2023,,,,,,,,,,
End Date:   22 July 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173554,28 Jun 2023,"1,388.88",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173950,28 Jun 2023,"1,388.88",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174700,05 Jul 2023,"1,388.88",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176381,12 Jul 2023,"1,388.88",,,,,
LONDON UNDERGROUND LTD,MITSUBISHI ELECTRIC EUROPE B.V.,Computer Hardware,1005/5110287946,11 Jul 2023,"1,388.83",,,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF SOUTHWARK,Street Furniture,1002/5110294011,19 Jul 2023,"1,388.67",,,,,
LUL NOMINEE SSL LIMITED,CWW ENGINEERS SUPPLY CO LTD,Stock of Fleet,1031/5110287141,10 Jul 2023,"1,388.64",,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Stationery,1005/5110282910,03 Jul 2023,"1,388.25",,,,,
LONDON UNDERGROUND LTD,TIFLEX LTD,Stock of Fleet,1005/5110253567,07 Jul 2023,"1,388.15",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174857,05 Jul 2023,"1,388.10",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173654,28 Jun 2023,"1,388.10",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177272,19 Jul 2023,"1,388.10",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177249,19 Jul 2023,"1,388.10",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176450,12 Jul 2023,"1,388.10",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176268,12 Jul 2023,"1,387.98",,,,,
TFL CORPORATE,VIKING OFFICE UK LIMIT,Staff Entertainment,1001/3000046630,21 Jul 2023,"1,387.32","5,111.00",,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174856,05 Jul 2023,"1,386.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175749,12 Jul 2023,"1,386.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175116,05 Jul 2023,"1,386.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175846,12 Jul 2023,"1,386.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176380,12 Jul 2023,"1,386.18",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177669,19 Jul 2023,"1,385.70",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175166,05 Jul 2023,"1,385.70",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174233,28 Jun 2023,"1,385.70",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176303,12 Jul 2023,"1,385.70",,,,,
TRANSPORT TRADING LTD,ONE TIME SUPPLIER - FARES,Fares Refund Control  (TTL Only),1004/1101177384,04 Jul 2023,"1,385.20",,,,,
LONDON UNDERGROUND LTD,WJB SERVICES LIMITED,Office Accommodation Moves,1005/5110292078,29 Jun 2023,"1,384.50",,,,,
SURFACE TRANSPORT CORP,STANTEC UK LIMITED,Professional Engineering Services,1002/5110291656,19 Jul 2023,"1,383.75",,,,,
LONDON UNDERGROUND LTD,AUTOMATIC TEST SERVICES LTD,Civil Engineering Construction Works,1005/5110286571,05 Jul 2023,"1,383.50",,,,,
RAIL FOR LONDON LIMITED,AGIITO LIMITED,Staff Travel (Business Fares),1020/1900008030,03 Jul 2023,"1,383.01",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262669,05 Jul 2023,"1,382.10",,,,,
LONDON UNDERGROUND LTD,4-RAIL SERVICES LIMITED,Maintenance Materials,1005/5110252855,28 Jun 2023,"1,382.00",,,,,
LONDON UNDERGROUND LTD,MASTERNAUT LTD,Vehicle Repairs & Maintenance,1005/5110297458,06 Jul 2023,"1,381.30",,,,,
LONDON UNDERGROUND LTD,RS COMPONENTS LTD,Plant & Equipment Purchases,1005/5110286388,07 Jul 2023,"1,380.95",,,,,
LONDON UNDERGROUND LTD,EAL LIMITED,Staff Training,1005/5110300520,13 Jul 2023,"1,380.00",,,,,
LONDON UNDERGROUND LTD,C E F,Vehicle Repairs & Maintenance,1005/5110293949,05 Jul 2023,"1,380.00",,,,,
LONDON UNDERGROUND LTD,NILFISK LIMITED,Vehicle Repairs & Maintenance,1005/5110255452,29 Jun 2023,"1,379.56",,,,,
TRANSPORT TRADING LTD,BANNER GROUP LIMITED,Stationery,1004/5110288840,12 Jul 2023,"1,378.64",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Maintenance Materials,1005/5110284118,04 Jul 2023,"1,377.61",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263281,12 Jul 2023,"1,377.54",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263154,12 Jul 2023,"1,377.39",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173929,28 Jun 2023,"1,376.88",,,,,
RAIL FOR LONDON LIMITED,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1020/1900008064,28 Jun 2023,"1,376.88",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262670,05 Jul 2023,"1,375.80",,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1002/1900075767,05 Jul 2023,"1,375.50",,,,,
SURFACE TRANSPORT CORP,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1002/1900075768,05 Jul 2023,"1,375.50",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176557,12 Jul 2023,"1,375.31",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174225,28 Jun 2023,"1,375.31",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110292835,19 Jul 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110286542,05 Jul 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110264080,13 Jul 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110286548,05 Jul 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110283199,28 Jun 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110292045,19 Jul 2023,"1,375.02",,,,,
LONDON UNDERGROUND LTD,FAIVELEY TRANSPORT TAMWORTH LTD,Fleet,1005/5110289061,12 Jul 2023,"1,375.02",,,,,
LONDON TRANSPORT MUSEUM,REDACTED,Management & Support Consultancy,1011/5110290386,17 Jul 2023,"1,375.00",,,,,
LONDON RIVER SERVICES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1007/1900004683,19 Jul 2023,"1,374.97",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173987,28 Jun 2023,"1,374.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177471,19 Jul 2023,"1,374.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176452,12 Jul 2023,"1,374.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177117,19 Jul 2023,"1,374.48",,,,,
TFL CORPORATE,CINOS,Telephony Fixed,1001/5110295605,06 Jul 2023,"1,374.34",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262402,28 Jun 2023,"1,374.24",,,,,
LONDON UNDERGROUND LTD,ARCHITECTURAL METAL CRAFTSMEN LTD,Stock of Fleet,1005/5110294121,03 Jul 2023,"1,374.00",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262804,05 Jul 2023,"1,373.69",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263734,19 Jul 2023,"1,373.59",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262680,05 Jul 2023,"1,372.66",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263715,19 Jul 2023,"1,372.15",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263708,19 Jul 2023,"1,372.06",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262797,05 Jul 2023,"1,372.06",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110289021,11 Jul 2023,"1,371.85",,,,,
LONDON UNDERGROUND LTD,C E F,Plant & Equipment Purchases,1005/5110296394,04 Jul 2023,"1,371.60",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177381,19 Jul 2023,"1,371.42",,,,,
LONDON UNDERGROUND LTD,RIVERSIDE TRUCK RENTAL LIMITED,Vehicle Operating Leases,1005/5110297557,07 Jul 2023,"1,371.30",,,,,
LONDON TRANSPORT MUSEUM,GBM SERVICES LIMITED,Office Cleaning,1011/5110291538,28 Jun 2023,"1,371.21",,,,,
LONDON UNDERGROUND LTD,SCHUNK CARBON TECHNOLOGY LIMITED,Fleet,1005/5110303217,19 Jul 2023,"1,370.80",,,,,
TFL CORPORATE,PROBRAND LTD,Computer Hardware,1001/5110272929,26 Jun 2023,"1,370.52",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263751,19 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262911,05 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262908,05 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262481,28 Jun 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262156,28 Jun 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263503,19 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263321,12 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262652,05 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263316,12 Jul 2023,"1,370.25",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262158,28 Jun 2023,"1,370.09",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263752,19 Jul 2023,"1,370.09",,,,,
LUL NOMINEE BCV LIMITED,C E F,Fleet,1033/5110296431,04 Jul 2023,"1,369.20",,,,,
LONDON TRANSPORT MUSEUM,GBM SERVICES LIMITED,Office Cleaning,1011/5110289623,27 Jun 2023,"1,367.79",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263157,12 Jul 2023,"1,367.13",,,,,
LONDON TRANSPORT MUSEUM,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1011/1900018140,12 Jul 2023,"1,366.74",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262719,05 Jul 2023,"1,366.46",,,,,
LONDON UNDERGROUND LTD,SIXT RENT A CAR,Vehicle Operating Leases,1005/5110293529,19 Jul 2023,"1,366.40",,,,,
TTL PROPERTIES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1040/1900005437,05 Jul 2023,"1,366.30",,,,,
TTL PROPERTIES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1040/1900005360,28 Jun 2023,"1,366.30",,,,,
TTL PROPERTIES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1040/1900005567,19 Jul 2023,"1,366.30",,,,,
TTL PROPERTIES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1040/1900005535,12 Jul 2023,"1,366.30",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110280878,28 Jun 2023,"1,366.22",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110282820,28 Jun 2023,"1,366.20",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110280879,28 Jun 2023,"1,366.20",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110282819,28 Jun 2023,"1,366.20",,,,,
TTL PROPERTIES LTD,ASHURST LLP,Legal Fees,1040/5110296911,06 Jul 2023,"1,366.00",,,,,
LONDON UNDERGROUND LTD,SPERRY RAIL SERVICE,Track General Maintenance,1005/5110292704,18 Jul 2023,"1,365.88",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263075,12 Jul 2023,"1,365.04",,,,,
DIAL A RIDE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1010/1900013322,28 Jun 2023,"1,364.02",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174048,28 Jun 2023,"1,362.87",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262413,28 Jun 2023,"1,362.79",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262207,28 Jun 2023,"1,362.07",,,,,
LONDON UNDERGROUND LTD,WATSON FUELS,Stock of Other Spares,1005/5110284534,28 Jun 2023,"1,362.00",,,,,
TRANSPORT TRADING LTD,PANORAMA TOURS,Transys Control - TTL,1004/1901695834,20 Jul 2023,"1,361.38",,,,,
TRANSPORT TRADING LTD,MORGAN SINDALL  PLC,Management & Support Consultancy,1004/5110290391,05 Jul 2023,"1,360.87",,,,,
LT MUSEUM TRADING LTD,IMPACT CHINA LIMITED,LTM Purchase of Toys for Resale,1024/1900023255,05 Jul 2023,"1,360.80",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110287069,10 Jul 2023,"1,360.32",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263565,19 Jul 2023,"1,360.01",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262951,05 Jul 2023,"1,360.00",,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Advertising,1001/5110301451,19 Jul 2023,"1,359.41",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Uniforms,1005/5110289955,17 Jul 2023,"1,358.50",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262874,05 Jul 2023,"1,357.84",,,,,
TRANSPORT TRADING LTD,SENATOR INTERNATIONAL LTD,Furniture & Equipment,1004/5110290261,12 Jul 2023,"1,356.90",,,,,
RAIL FOR LONDON LIMITED,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1020/1900008074,28 Jun 2023,"1,356.60",,,,,
RAIL FOR LONDON LIMITED,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1020/1900008109,12 Jul 2023,"1,356.60",,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058499,12 Jul 2023,"1,356.50",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176902,19 Jul 2023,"1,354.16",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Uniforms,1005/5110289978,17 Jul 2023,"1,353.23",,,,,
SURFACE TRANSPORT CORP,REDSPEED INTERNATIONAL  LTD,Computer Software,1002/5110284951,05 Jul 2023,"1,352.80",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262676,05 Jul 2023,"1,351.55",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263353,12 Jul 2023,"1,351.03",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263561,19 Jul 2023,"1,351.03",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262145,28 Jun 2023,"1,351.03",,,,,
LONDON UNDERGROUND LTD,C E F,Vehicle Repairs & Maintenance,1005/5110294284,29 Jun 2023,"1,350.85",,,,,
LUL NOMINEE SSL LIMITED,SCHAEFFLER (UK) LTD,Fleet,1031/5110289814,12 Jul 2023,"1,350.53",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175802,12 Jul 2023,"1,350.30",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175352,05 Jul 2023,"1,350.30",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177783,19 Jul 2023,"1,350.30",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173704,28 Jun 2023,"1,350.30",,,,,
LONDON UNDERGROUND LTD,BANNER GROUP LIMITED,Printing,1005/5110282399,28 Jun 2023,"1,350.27",,,,,
LONDON UNDERGROUND LTD,ALSTOM ENGINEERING & SERVICES LTD,Fleet,1005/5110266949,27 Jun 2023,"1,350.00",,,,,
RAIL FOR LONDON LIMITED,LIEBHERR-TRANSPORTATION SYSTEMS,Exchange Gain Realised,1020/2000071580,17 Jul 2023,"1,349.90",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263033,12 Jul 2023,"1,349.66",,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058630,19 Jul 2023,"1,349.10",,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058157,28 Jun 2023,"1,349.10",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262692,05 Jul 2023,"1,348.90",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263257,12 Jul 2023,"1,348.90",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176776,12 Jul 2023,"1,346.91",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176939,19 Jul 2023,"1,346.79",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173418,28 Jun 2023,"1,346.79",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176060,12 Jul 2023,"1,346.79",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177440,19 Jul 2023,"1,346.79",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176736,12 Jul 2023,"1,346.79",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174904,05 Jul 2023,"1,346.79",,,,,
TFL CORPORATE,CORPORATE DOCUMENT SERVICES LTD,Street Furniture,1001/5110301430,19 Jul 2023,"1,346.40",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177384,19 Jul 2023,"1,345.55",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175917,12 Jul 2023,"1,344.48",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175964,12 Jul 2023,"1,343.84",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176147,12 Jul 2023,"1,343.43",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177209,19 Jul 2023,"1,343.43",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177574,19 Jul 2023,"1,343.43",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177523,19 Jul 2023,"1,342.00",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176161,12 Jul 2023,"1,342.00",,,,,
SURFACE TRANSPORT CORP,TELENT TECHNOLOGY SERVICES LTD,Traffic Signals,1002/5110285900,28 Jun 2023,"1,341.96",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174299,28 Jun 2023,"1,341.14",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900174298,28 Jun 2023,"1,341.14",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175948,12 Jul 2023,"1,341.14",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177058,19 Jul 2023,"1,341.14",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175400,05 Jul 2023,"1,341.14",,,,,
LONDON UNDERGROUND LTD,C WOODFORD ENGINEERING LTD,Vehicle Repairs & Maintenance,1005/5110296249,05 Jul 2023,"1,341.00",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Plant & Equipment Purchases,1005/5110292205,19 Jul 2023,"1,340.24",,,,,
TTL PROPERTIES LTD,URBAN LAND INSTITUTE,Travel to/from work (Unsocial Hours),1040/5110294169,29 Jun 2023,"1,340.00",,,,,
LONDON UNDERGROUND LTD,RYGOR COMMERCIALS LTD,Vehicle Repairs & Maintenance,1005/5110275015,12 Jul 2023,"1,338.50",,,,,
LONDON RIVER SERVICES LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1007/1900004616,05 Jul 2023,"1,336.44",,,,,
TFL CORPORATE,PULSE MEDIA LIMITED,Street Furniture,1001/5110282431,28 Jun 2023,"1,335.94",,,,,
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Protective Clothing,1005/5110282411,28 Jun 2023,"1,335.00",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263295,12 Jul 2023,"1,334.17",,,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110292399,19 Jul 2023,"1,333.85",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176811,12 Jul 2023,"1,333.32",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262736,05 Jul 2023,"1,333.22",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263556,19 Jul 2023,"1,333.22",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262196,28 Jun 2023,"1,331.54",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900263704,19 Jul 2023,"1,331.25",,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058727,19 Jul 2023,"1,331.18",,,,,
PUBLIC CARRIAGE OFFICE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1003/1900058467,12 Jul 2023,"1,331.18",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173967,28 Jun 2023,"1,331.15",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175143,05 Jul 2023,"1,331.15",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177655,19 Jul 2023,"1,331.15",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900176693,12 Jul 2023,"1,331.15",,,,,
RAIL FOR LONDON LIMITED,SIMPLY 4 GROUP LTD,Track General Maintenance,1020/5110294260,04 Jul 2023,"1,330.00",,,,,
RAIL FOR LONDON LIMITED,SIMPLY 4 GROUP LTD,Track General Maintenance,1020/5110294889,06 Jul 2023,"1,330.00",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262274,28 Jun 2023,"1,329.52",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262614,05 Jul 2023,"1,329.52",,,,,
LONDON UNDERGROUND LTD,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1005/1900262714,05 Jul 2023,"1,329.52",,,,,
LONDON BUS SERVICES LTD,TELENT TECHNOLOGY SERVICES LTD,Security Equipment,1006/5110299276,10 Jul 2023,"1,328.80",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175562,05 Jul 2023,"1,328.56",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900173809,28 Jun 2023,"1,328.20",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900175368,05 Jul 2023,"1,328.20",,,,,
TFL CORPORATE,REED SPECIALIST RECRUITMENT LTD,Agency Staff,1001/1900177607,19 Jul 2023,"1,328.20",,,,,
